200,0.2,1127.59769774,220.024885088,358.85292892,396.581680189,421.485783655
400,0.2,327.34880277,201.423742771,275.748361496,341.707724438,371.062101531
600,0.2,289.392773554,136.6368191,236.882017005,286.750702236,305.872215838
800,0.2,273.173652238,163.10959558,328.320613791,350.565517579,386.915443442
1000,0.2,265.753454822,117.711153995,226.274125206,323.271321053,362.217656671
1200,0.2,263.037113042,123.477519672,217.595531112,298.422186262,345.296101183
1400,0.2,253.3104224,105.943373529,220.621195137,287.511400167,360.12055363
1600,0.2,252.363501973,101.895095209,196.108376933,266.685499793,323.24835385
1800,0.2,250.215216258,124.397316195,207.929428128,251.826632094,312.086505553
2000,0.2,248.391174102,105.507647224,208.197599247,269.170888411,290.666996048
2200,0.2,243.498319171,105.423411674,198.231091578,292.895883575,308.09955881
2400,0.2,245.501887131,95.9465509062,243.833988198,285.189099089,331.163530985
2600,0.2,242.823145861,82.3627121875,220.717895476,295.912967955,332.682000538
2800,0.2,238.873040611,104.018962231,199.500435944,249.064197801,310.482848682
3000,0.2,239.476030637,88.4684919361,229.72588353,268.591111928,302.193108768
3200,0.2,234.45779674,87.8267073856,225.665656577,257.978434866,296.173557473
3400,0.2,238.336535271,102.37334199,227.725862391,273.162379176,312.834747223
3600,0.2,236.341336691,93.2864224921,214.672771521,274.240006276,311.792289357
3800,0.2,239.766492335,156.081428053,228.815973598,262.68466563,295.87811774
4000,0.198,234.92316684,97.296552551,263.16433943,273.944760803,317.742692715
4200,0.198,234.197843588,99.893061357,235.229415824,263.4051327,307.293180313
4400,0.198,235.003552768,105.28807178,219.499569079,254.629175571,319.787986377
4600,0.198,222.746464248,126.849321241,210.32837624,263.308311854,270.059640698
4800,0.198,193.674390686,242.166718316,192.294482092,215.908160448,239.940168665
5000,0.198,165.255177402,98.513280282,150.100038378,170.918234899,208.649399048
5200,0.198,153.258292435,95.4680956071,137.437612892,187.90341083,222.858397088
5400,0.198,135.014894024,137.411270202,131.749235269,190.502307364,182.505609674
5600,0.198,126.0661377,87.9068166182,112.404940067,148.357686647,194.243882207
5800,0.198,121.623758286,96.5042675499,122.472218475,145.840898142,157.532881622
6000,0.198,116.5849279,84.4979711321,147.060667159,131.410177185,154.864060456
6200,0.198,112.887280582,94.7618408957,139.527471326,138.687516547,150.452520544
6400,0.198,108.166344651,86.4772028952,122.17008337,133.517907973,137.552872359
6600,0.198,104.604414742,81.1444335988,104.135538157,138.680837441,145.503105446
